activity_comment,activity_id,activity_properties,assay_chembl_id,assay_description,assay_type,assay_variant_accession,assay_variant_mutation,bao_endpoint,bao_format,bao_label,canonical_smiles,data_validity_comment,data_validity_description,document_chembl_id,document_journal,document_year,ligand_efficiency,molecule_chembl_id,molecule_pref_name,parent_molecule_chembl_id,pchembl_value,potential_duplicate,qudt_units,record_id,relation,src_id,standard_flag,standard_relation,standard_text_value,standard_type,standard_units,standard_upper_value,standard_value,target_chembl_id,target_organism,target_pref_name,target_tax_id,text_value,toid,type,units,uo_units,upper_value,value
,37552,[],CHEMBL660279,Inhibitory activity against Trypanosoma cruzi cathepsin L-like protease (cruzain) was determined using purified recombinant protein,B,,,BAO_0000190,BAO_0000357,single protein format,CC/C(=N\NC(N)=O)c1cccc(Br)c1,,,CHEMBL1135476,J. Med. Chem.,2002,,CHEMBL91643,,CHEMBL91643,,0,http://www.openphacts.org/units/Nanomolar,167009,>,1,1,>,,IC50,nM,,10000.0,CHEMBL3563,Trypanosoma cruzi,Cruzipain,5693,,,IC50,uM,UO_0000065,,10.0
,38866,[],CHEMBL660279,Inhibitory activity against Trypanosoma cruzi cathepsin L-like protease (cruzain) was determined using purified recombinant protein,B,,,BAO_0000190,BAO_0000357,single protein format,N/C(S)=N/N=C/c1cccn1S(=O)(=O)c1ccccc1,,,CHEMBL1135476,J. Med. Chem.,2002,"{'bei': '18.01', 'le': '0.38', 'lle': '4.25', 'sei': '6.18'}",CHEMBL94235,,CHEMBL94235,5.55,0,http://www.openphacts.org/units/Nanomolar,167059,=,1,1,=,,IC50,nM,,2800.0,CHEMBL3563,Trypanosoma cruzi,Cruzipain,5693,,,IC50,nM,UO_0000065,,2800.0
,38867,[],CHEMBL660279,Inhibitory activity against Trypanosoma cruzi cathepsin L-like protease (cruzain) was determined using purified recombinant protein,B,,,BAO_0000190,BAO_0000357,single protein format,CC/C(=N\N=C(\N)S)c1ccc(Cl)c(Cl)c1,,,CHEMBL1135476,J. Med. Chem.,2002,"{'bei': '27.88', 'le': '0.66', 'lle': '4.35', 'sei': '15.17'}",CHEMBL92099,,CHEMBL92099,7.70,0,http://www.openphacts.org/units/Nanomolar,167044,=,1,1,=,,IC50,nM,,20.0,CHEMBL3563,Trypanosoma cruzi,Cruzipain,5693,,,IC50,nM,UO_0000065,,20.0
,38869,[],CHEMBL660279,Inhibitory activity against Trypanosoma cruzi cathepsin L-like protease (cruzain) was determined using purified recombinant protein,B,,,BAO_0000190,BAO_0000357,single protein format,CC1CN(C(=N)S)N=C1c1cccc(Cl)c1,,,CHEMBL1135476,J. Med. Chem.,2002,"{'bei': '26.16', 'le': '0.57', 'lle': '3.78', 'sei': '16.83'}",CHEMBL90428,,CHEMBL90428,6.64,0,http://www.openphacts.org/units/Nanomolar,166995,=,1,1,=,,IC50,nM,,230.0,CHEMBL3563,Trypanosoma cruzi,Cruzipain,5693,,,IC50,nM,UO_0000065,,230.0
,39965,[],CHEMBL660279,Inhibitory activity against Trypanosoma cruzi cathepsin L-like protease (cruzain) was determined using purified recombinant protein,B,,,BAO_0000190,BAO_0000357,single protein format,CC/C(=N\N=C(\N)S)c1ccc2cc(OC)ccc2c1,,,CHEMBL1135476,J. Med. Chem.,2002,,CHEMBL89915,,CHEMBL89915,,0,http://www.openphacts.org/units/Nanomolar,167038,>,1,1,>,,IC50,nM,,10000.0,CHEMBL3563,Trypanosoma cruzi,Cruzipain,5693,,,IC50,nM,UO_0000065,,10000.0
,39966,[],CHEMBL660279,Inhibitory activity against Trypanosoma cruzi cathepsin L-like protease (cruzain) was determined using purified recombinant protein,B,,,BAO_0000190,BAO_0000357,single protein format,N=C(S)N1CCC(c2cccc(C(F)(F)F)c2)=N1,,,CHEMBL1135476,J. Med. Chem.,2002,"{'bei': '25.97', 'le': '0.54', 'lle': '4.12', 'sei': '17.99'}",CHEMBL91640,,CHEMBL91640,7.10,0,http://www.openphacts.org/units/Nanomolar,166992,=,1,1,=,,IC50,nM,,80.0,CHEMBL3563,Trypanosoma cruzi,Cruzipain,5693,,,IC50,nM,UO_0000065,,80.0
,39968,[],CHEMBL660279,Inhibitory activity against Trypanosoma cruzi cathepsin L-like protease (cruzain) was determined using purified recombinant protein,B,,,BAO_0000190,BAO_0000357,single protein format,S=C(NCCN1CCOCC1)N1CCC(c2cccc(Br)c2)=N1,,,CHEMBL1135476,J. Med. Chem.,2002,,CHEMBL91887,,CHEMBL91887,,0,http://www.openphacts.org/units/Nanomolar,167015,>,1,1,>,,IC50,nM,,10000.0,CHEMBL3563,Trypanosoma cruzi,Cruzipain,5693,,,IC50,uM,UO_0000065,,10.0
,39969,[],CHEMBL660279,Inhibitory activity against Trypanosoma cruzi cathepsin L-like protease (cruzain) was determined using purified recombinant protein,B,,,BAO_0000190,BAO_0000357,single protein format,S=C(NCc1ccco1)N1CCC(c2cccc(Br)c2)=N1,,,CHEMBL1135476,J. Med. Chem.,2002,,CHEMBL328370,,CHEMBL328370,,0,http://www.openphacts.org/units/Nanomolar,167014,>,1,1,>,,IC50,nM,,10000.0,CHEMBL3563,Trypanosoma cruzi,Cruzipain,5693,,,IC50,uM,UO_0000065,,10.0
,39970,[],CHEMBL660279,Inhibitory activity against Trypanosoma cruzi cathepsin L-like protease (cruzain) was determined using purified recombinant protein,B,,,BAO_0000190,BAO_0000357,single protein format,C/C(=N\NC(N)=O)c1cccc(Br)c1,,,CHEMBL1135476,J. Med. Chem.,2002,,CHEMBL90339,,CHEMBL90339,,0,http://www.openphacts.org/units/Nanomolar,167004,>,1,1,>,,IC50,nM,,10000.0,CHEMBL3563,Trypanosoma cruzi,Cruzipain,5693,,,IC50,uM,UO_0000065,,10.0
,41149,[],CHEMBL660279,Inhibitory activity against Trypanosoma cruzi cathepsin L-like protease (cruzain) was determined using purified recombinant protein,B,,,BAO_0000190,BAO_0000357,single protein format,N=C(S)N/N=C/c1cc(C(F)(F)F)cc(C(F)(F)F)c1,,,CHEMBL1135476,J. Med. Chem.,2002,"{'bei': '20.60', 'le': '0.44', 'lle': '2.98', 'sei': '13.46'}",CHEMBL90772,,CHEMBL90772,6.50,0,http://www.openphacts.org/units/Nanomolar,167050,=,1,1,=,,IC50,nM,,320.0,CHEMBL3563,Trypanosoma cruzi,Cruzipain,5693,,,IC50,nM,UO_0000065,,320.0
,41150,[],CHEMBL660279,Inhibitory activity against Trypanosoma cruzi cathepsin L-like protease (cruzain) was determined using purified recombinant protein,B,,,BAO_0000190,BAO_0000357,single protein format,C/C(=N\N=C(\N)S)c1cc(C(F)(F)F)cc(C(F)(F)F)c1,,,CHEMBL1135476,J. Med. Chem.,2002,"{'bei': '21.93', 'le': '0.47', 'lle': '3.53', 'sei': '14.23'}",CHEMBL89973,,CHEMBL89973,7.22,0,http://www.openphacts.org/units/Nanomolar,167031,=,1,1,=,,IC50,nM,,60.0,CHEMBL3563,Trypanosoma cruzi,Cruzipain,5693,,,IC50,nM,UO_0000065,,60.0
,41152,[],CHEMBL660279,Inhibitory activity against Trypanosoma cruzi cathepsin L-like protease (cruzain) was determined using purified recombinant protein,B,,,BAO_0000190,BAO_0000357,single protein format,CC/C(=N\NC(N)=O)c1cccc(Cl)c1,,,CHEMBL1135476,J. Med. Chem.,2002,,CHEMBL88586,,CHEMBL88586,,0,http://www.openphacts.org/units/Nanomolar,167007,>,1,1,>,,IC50,nM,,10000.0,CHEMBL3563,Trypanosoma cruzi,Cruzipain,5693,,,IC50,uM,UO_0000065,,10.0
,41153,[],CHEMBL660279,Inhibitory activity against Trypanosoma cruzi cathepsin L-like protease (cruzain) was determined using purified recombinant protein,B,,,BAO_0000190,BAO_0000357,single protein format,NC(=O)N/N=C/c1ccc(-c2cccc(Cl)c2)o1,,,CHEMBL1135476,J. Med. Chem.,2002,,CHEMBL88782,,CHEMBL88782,,0,http://www.openphacts.org/units/Nanomolar,167000,>,1,1,>,,IC50,nM,,10000.0,CHEMBL3563,Trypanosoma cruzi,Cruzipain,5693,,,IC50,uM,UO_0000065,,10.0
,42340,[],CHEMBL660279,Inhibitory activity against Trypanosoma cruzi cathepsin L-like protease (cruzain) was determined using purified recombinant protein,B,,,BAO_0000190,BAO_0000357,single protein format,COc1ccccc1-c1ccc(/C=N/N=C(/N)S)o1,,,CHEMBL1135476,J. Med. Chem.,2002,"{'bei': '23.80', 'le': '0.47', 'lle': '4.02', 'sei': '8.96'}",CHEMBL93774,,CHEMBL93774,6.55,0,http://www.openphacts.org/units/Nanomolar,167064,=,1,1,=,,IC50,nM,,280.0,CHEMBL3563,Trypanosoma cruzi,Cruzipain,5693,,,IC50,nM,UO_0000065,,280.0
,42342,[],CHEMBL660279,Inhibitory activity against Trypanosoma cruzi cathepsin L-like protease (cruzain) was determined using purified recombinant protein,B,,,BAO_0000190,BAO_0000357,single protein format,N/C(S)=N/N=C/c1cccc(Br)c1,,,CHEMBL1135476,J. Med. Chem.,2002,"{'bei': '22.80', 'le': '0.62', 'lle': '3.86', 'sei': '11.60'}",CHEMBL91844,,CHEMBL91844,5.89,0,http://www.openphacts.org/units/Nanomolar,167054,=,1,1,=,,IC50,nM,,1300.0,CHEMBL3563,Trypanosoma cruzi,Cruzipain,5693,,,IC50,nM,UO_0000065,,1300.0
,43540,[],CHEMBL660279,Inhibitory activity against Trypanosoma cruzi cathepsin L-like protease (cruzain) was determined using purified recombinant protein,B,,,BAO_0000190,BAO_0000357,single protein format,N=C(S)N/N=C/c1ccccc1C(F)(F)F,,,CHEMBL1135476,J. Med. Chem.,2002,,CHEMBL90311,,CHEMBL90311,,0,http://www.openphacts.org/units/Nanomolar,167055,>,1,1,>,,IC50,nM,,10000.0,CHEMBL3563,Trypanosoma cruzi,Cruzipain,5693,,,IC50,uM,UO_0000065,,10.0
,43541,[],CHEMBL660279,Inhibitory activity against Trypanosoma cruzi cathepsin L-like protease (cruzain) was determined using purified recombinant protein,B,,,BAO_0000190,BAO_0000357,single protein format,FC(F)(F)c1cccc(NC(=S)N2CCC(c3cccc(Cl)c3)=N2)c1,,,CHEMBL1135476,J. Med. Chem.,2002,"{'bei': '15.03', 'le': '0.32', 'lle': '0.60', 'sei': '20.88'}",CHEMBL90354,,CHEMBL90354,5.77,0,http://www.openphacts.org/units/Nanomolar,167011,=,1,1,=,,IC50,nM,,1700.0,CHEMBL3563,Trypanosoma cruzi,Cruzipain,5693,,,IC50,nM,UO_0000065,,1700.0
,44782,[],CHEMBL660279,Inhibitory activity against Trypanosoma cruzi cathepsin L-like protease (cruzain) was determined using purified recombinant protein,B,,,BAO_0000190,BAO_0000357,single protein format,NC(=O)N/N=C/c1ccc(-c2ccc(Cl)cc2)o1,,,CHEMBL1135476,J. Med. Chem.,2002,,CHEMBL313316,,CHEMBL313316,,0,http://www.openphacts.org/units/Nanomolar,166999,>,1,1,>,,IC50,nM,,10000.0,CHEMBL3563,Trypanosoma cruzi,Cruzipain,5693,,,IC50,uM,UO_0000065,,10.0
,45895,[],CHEMBL660279,Inhibitory activity against Trypanosoma cruzi cathepsin L-like protease (cruzain) was determined using purified recombinant protein,B,,,BAO_0000190,BAO_0000357,single protein format,COc1cccc(/C(C)=N/N=C(/N)S)c1,,,CHEMBL1135476,J. Med. Chem.,2002,,CHEMBL92579,,CHEMBL92579,,0,http://www.openphacts.org/units/Nanomolar,167042,>,1,1,>,,IC50,nM,,10000.0,CHEMBL3563,Trypanosoma cruzi,Cruzipain,5693,,,IC50,uM,UO_0000065,,10.0
,45896,[],CHEMBL660279,Inhibitory activity against Trypanosoma cruzi cathepsin L-like protease (cruzain) was determined using purified recombinant protein,B,,,BAO_0000190,BAO_0000357,single protein format,C/C(=N\N=C(\N)S)c1ccccc1Br,,,CHEMBL1135476,J. Med. Chem.,2002,"{'bei': '19.87', 'le': '0.53', 'lle': '2.99', 'sei': '10.66'}",CHEMBL90819,,CHEMBL90819,5.41,0,http://www.openphacts.org/units/Nanomolar,167041,=,1,1,=,,IC50,nM,,3900.0,CHEMBL3563,Trypanosoma cruzi,Cruzipain,5693,,,IC50,nM,UO_0000065,,3900.0
,47159,[],CHEMBL660279,Inhibitory activity against Trypanosoma cruzi cathepsin L-like protease (cruzain) was determined using purified recombinant protein,B,,,BAO_0000190,BAO_0000357,single protein format,CC/C(=N\N=C(\N)S)c1ccc(OC)cc1,,,CHEMBL1135476,J. Med. Chem.,2002,,CHEMBL91344,,CHEMBL91344,,0,http://www.openphacts.org/units/Nanomolar,167046,>,1,1,>,,IC50,nM,,10000.0,CHEMBL3563,Trypanosoma cruzi,Cruzipain,5693,,,IC50,uM,UO_0000065,,10.0
,47160,[],CHEMBL660279,Inhibitory activity against Trypanosoma cruzi cathepsin L-like protease (cruzain) was determined using purified recombinant protein,B,,,BAO_0000190,BAO_0000357,single protein format,CC/N=C(\S)N1CCC(c2cccc(Br)c2)=N1,,,CHEMBL1135476,J. Med. Chem.,2002,,CHEMBL327582,,CHEMBL327582,,0,http://www.openphacts.org/units/Nanomolar,167019,>,1,1,>,,IC50,nM,,10000.0,CHEMBL3563,Trypanosoma cruzi,Cruzipain,5693,,,IC50,uM,UO_0000065,,10.0
,47161,[],CHEMBL660279,Inhibitory activity against Trypanosoma cruzi cathepsin L-like protease (cruzain) was determined using purified recombinant protein,B,,,BAO_0000190,BAO_0000357,single protein format,C/C(=N\NC(N)=O)c1ccc(Cl)c(Cl)c1,,,CHEMBL1135476,J. Med. Chem.,2002,,CHEMBL421737,,CHEMBL421737,,0,http://www.openphacts.org/units/Nanomolar,167001,>,1,1,>,,IC50,nM,,10000.0,CHEMBL3563,Trypanosoma cruzi,Cruzipain,5693,,,IC50,uM,UO_0000065,,10.0
,48478,[],CHEMBL660279,Inhibitory activity against Trypanosoma cruzi cathepsin L-like protease (cruzain) was determined using purified recombinant protein,B,,,BAO_0000190,BAO_0000357,single protein format,N/C(S)=N/N=C/c1ccc(-c2cccc(Cl)c2)o1,,,CHEMBL1135476,J. Med. Chem.,2002,"{'bei': '24.50', 'le': '0.52', 'lle': '3.67', 'sei': '10.73'}",CHEMBL329128,,CHEMBL329128,6.85,0,http://www.openphacts.org/units/Nanomolar,167062,=,1,1,=,,IC50,nM,,140.0,CHEMBL3563,Trypanosoma cruzi,Cruzipain,5693,,,IC50,nM,UO_0000065,,140.0
,48479,[],CHEMBL660279,Inhibitory activity against Trypanosoma cruzi cathepsin L-like protease (cruzain) was determined using purified recombinant protein,B,,,BAO_0000190,BAO_0000357,single protein format,C/C(=N\N=C(\N)S)c1ccc(Br)s1,,,CHEMBL1135476,J. Med. Chem.,2002,"{'bei': '19.48', 'le': '0.57', 'lle': '2.94', 'sei': '10.68'}",CHEMBL89990,,CHEMBL89990,5.42,0,http://www.openphacts.org/units/Nanomolar,167028,=,1,1,=,,IC50,nM,,3800.0,CHEMBL3563,Trypanosoma cruzi,Cruzipain,5693,,,IC50,nM,UO_0000065,,3800.0
,49881,[],CHEMBL660279,Inhibitory activity against Trypanosoma cruzi cathepsin L-like protease (cruzain) was determined using purified recombinant protein,B,,,BAO_0000190,BAO_0000357,single protein format,N/C(S)=N/N=C/c1ccc(-c2ccc(Br)cc2)o1,,,CHEMBL1135476,J. Med. Chem.,2002,"{'bei': '20.21', 'le': '0.50', 'lle': '3.26', 'sei': '10.26'}",CHEMBL90060,,CHEMBL90060,6.55,0,http://www.openphacts.org/units/Nanomolar,167063,=,1,1,=,,IC50,nM,,280.0,CHEMBL3563,Trypanosoma cruzi,Cruzipain,5693,,,IC50,nM,UO_0000065,,280.0
,49882,[],CHEMBL660279,Inhibitory activity against Trypanosoma cruzi cathepsin L-like protease (cruzain) was determined using purified recombinant protein,B,,,BAO_0000190,BAO_0000357,single protein format,C/C(=N\N=C(\N)S)c1cccc(Br)c1,,,CHEMBL1135476,J. Med. Chem.,2002,"{'bei': '24.61', 'le': '0.65', 'lle': '4.28', 'sei': '13.20'}",CHEMBL88734,,CHEMBL88734,6.70,0,http://www.openphacts.org/units/Nanomolar,167053,=,1,1,=,,IC50,nM,,200.0,CHEMBL3563,Trypanosoma cruzi,Cruzipain,5693,,,IC50,nM,UO_0000065,,200.0
,49885,[],CHEMBL660279,Inhibitory activity against Trypanosoma cruzi cathepsin L-like protease (cruzain) was determined using purified recombinant protein,B,,,BAO_0000190,BAO_0000357,single protein format,C/C(=N\N=C(\N)S)c1cccc(C(F)(F)F)c1,,,CHEMBL1135476,J. Med. Chem.,2002,"{'bei': '25.91', 'le': '0.54', 'lle': '4.10', 'sei': '13.34'}",CHEMBL330050,,CHEMBL330050,6.77,0,http://www.openphacts.org/units/Nanomolar,167051,=,1,1,=,,IC50,nM,,170.0,CHEMBL3563,Trypanosoma cruzi,Cruzipain,5693,,,IC50,nM,UO_0000065,,170.0
,49887,[],CHEMBL660279,Inhibitory activity against Trypanosoma cruzi cathepsin L-like protease (cruzain) was determined using purified recombinant protein,B,,,BAO_0000190,BAO_0000357,single protein format,NC(=S)N1CCC(c2cccc(Br)c2)=N1,,,CHEMBL1135476,J. Med. Chem.,2002,"{'bei': '23.57', 'le': '0.61', 'lle': '4.60', 'sei': '16.10'}",CHEMBL314026,,CHEMBL314026,6.70,0,http://www.openphacts.org/units/Nanomolar,167026,=,1,1,=,,IC50,nM,,200.0,CHEMBL3563,Trypanosoma cruzi,Cruzipain,5693,,,IC50,nM,UO_0000065,,200.0
,49889,[],CHEMBL660279,Inhibitory activity against Trypanosoma cruzi cathepsin L-like protease (cruzain) was determined using purified recombinant protein,B,,,BAO_0000190,BAO_0000357,single protein format,CC1CN(C(=N)S)N=C1c1ccc(Cl)c(Cl)c1,,,CHEMBL1135476,J. Med. Chem.,2002,"{'bei': '24.83', 'le': '0.57', 'lle': '3.64', 'sei': '18.14'}",CHEMBL91544,,CHEMBL91544,7.16,0,http://www.openphacts.org/units/Nanomolar,166993,=,1,1,=,,IC50,nM,,70.0,CHEMBL3563,Trypanosoma cruzi,Cruzipain,5693,,,IC50,nM,UO_0000065,,70.0
,51181,[],CHEMBL660279,Inhibitory activity against Trypanosoma cruzi cathepsin L-like protease (cruzain) was determined using purified recombinant protein,B,,,BAO_0000190,BAO_0000357,single protein format,N/C(S)=N/N=C/c1ccc(-c2ccc(Cl)cc2)o1,,,CHEMBL1135476,J. Med. Chem.,2002,"{'bei': '23.32', 'le': '0.49', 'lle': '3.34', 'sei': '10.21'}",CHEMBL327577,,CHEMBL327577,6.52,0,http://www.openphacts.org/units/Nanomolar,167060,=,1,1,=,,IC50,nM,,300.0,CHEMBL3563,Trypanosoma cruzi,Cruzipain,5693,,,IC50,nM,UO_0000065,,300.0
,51183,[],CHEMBL660279,Inhibitory activity against Trypanosoma cruzi cathepsin L-like protease (cruzain) was determined using purified recombinant protein,B,,,BAO_0000190,BAO_0000357,single protein format,Cn1c(/C=N/N=C(/N)S)cc2ccccc21,,,CHEMBL1135476,J. Med. Chem.,2002,"{'bei': '23.90', 'le': '0.47', 'lle': '3.79', 'sei': '9.97'}",CHEMBL90808,,CHEMBL90808,5.55,0,http://www.openphacts.org/units/Nanomolar,167036,=,1,1,=,,IC50,nM,,2800.0,CHEMBL3563,Trypanosoma cruzi,Cruzipain,5693,,,IC50,nM,UO_0000065,,2800.0
,52386,[],CHEMBL660279,Inhibitory activity against Trypanosoma cruzi cathepsin L-like protease (cruzain) was determined using purified recombinant protein,B,,,BAO_0000190,BAO_0000357,single protein format,CC/C(=N\N=C(\N)S)c1cccc(C(F)(F)F)c1,,,CHEMBL1135476,J. Med. Chem.,2002,"{'bei': '26.52', 'le': '0.55', 'lle': '4.24', 'sei': '14.39'}",CHEMBL92376,,CHEMBL92376,7.30,0,http://www.openphacts.org/units/Nanomolar,167033,=,1,1,=,,IC50,nM,,50.0,CHEMBL3563,Trypanosoma cruzi,Cruzipain,5693,,,IC50,nM,UO_0000065,,50.0
,52389,[],CHEMBL660279,Inhibitory activity against Trypanosoma cruzi cathepsin L-like protease (cruzain) was determined using purified recombinant protein,B,,,BAO_0000190,BAO_0000357,single protein format,CC1CN(C(=N)S)N=C1c1cccc(Br)c1,,,CHEMBL1135476,J. Med. Chem.,2002,"{'bei': '23.80', 'le': '0.61', 'lle': '4.13', 'sei': '17.99'}",CHEMBL406038,,CHEMBL406038,7.10,0,http://www.openphacts.org/units/Nanomolar,167025,=,1,1,=,,IC50,nM,,80.0,CHEMBL3563,Trypanosoma cruzi,Cruzipain,5693,,,IC50,nM,UO_0000065,,80.0
,52392,[],CHEMBL660279,Inhibitory activity against Trypanosoma cruzi cathepsin L-like protease (cruzain) was determined using purified recombinant protein,B,,,BAO_0000190,BAO_0000357,single protein format,S=C(Nc1ccccc1)N1CCC(c2cccc(Br)c2)=N1,,,CHEMBL1135476,J. Med. Chem.,2002,,CHEMBL90948,,CHEMBL90948,,0,http://www.openphacts.org/units/Nanomolar,167017,>,1,1,>,,IC50,nM,,10000.0,CHEMBL3563,Trypanosoma cruzi,Cruzipain,5693,,,IC50,uM,UO_0000065,,10.0
,52393,[],CHEMBL660279,Inhibitory activity against Trypanosoma cruzi cathepsin L-like protease (cruzain) was determined using purified recombinant protein,B,,,BAO_0000190,BAO_0000357,single protein format,CCCCCC/N=C(\S)N1CCC(c2cccc(Br)c2)=N1,,,CHEMBL1135476,J. Med. Chem.,2002,"{'bei': '15.89', 'le': '0.38', 'lle': '1.12', 'sei': '20.94'}",CHEMBL91347,,CHEMBL91347,5.85,0,http://www.openphacts.org/units/Nanomolar,167010,=,1,1,=,,IC50,nM,,1400.0,CHEMBL3563,Trypanosoma cruzi,Cruzipain,5693,,,IC50,nM,UO_0000065,,1400.0
